노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
579,28511002,해성운수,부개역,부평역,05:25:00,2410,00:52:00,8.2,8,173,5,8,00:05:00
58(강화),28302019,강화선진버스,강화터미널,강화터미널,09:55:00,1635,03:40:00,1,1,4,45,190,01:57:30
581,28228009,태양여객,서운동성당,부평역,05:10:00,2320,01:50:00,16,9,90,12,,00:12:00
582,28231007,삼성여객,초정마을,부평구청역,05:10:00,2240,02:03:00,22.9,6,51,20,25,00:20:00
583,28228005,태양여객,부평역,장기동,05:30:00,2300,02:30:00,34.4,7,49,21,21,00:21:00
584,28231008,삼성여객,원창동(종점),계양역,05:30:00,2300,02:43:00,31,11,70,12,18,00:15:00
584-1,28509001,삼성여객,초정마을,부평역,05:10:00,2300,01:45:00,19.6,3,27,30,40,00:35:00
585,28206004,명진교통,백영아파트,부평역,05:00:00,2355,01:21:00,15.17,8,112,8,12,00:10:00
586,28217002,성산여객,세원에너지충전소,부평역(구보건소),05:00:00,2340,01:20:00,16.12,8,112,8,12,00:10:00
587,28231009,삼성여객,계산역,계산역,06:30:00,2410,00:16:00,2.52,2,132,5,11,00:05:00
588,28217003,성산여객,세원에너지충전소,서운중고등학교(종점),05:00:00,2320,02:16:00,23.6,14,112,8,12,00:10:00
59(강화),28302020,강화선진버스,강화터미널,강화터미널,07:30:00,2030,03:40:00,1,1,4,160,320,04:00:00
590,28228006,태양여객,유림골프장,효성동동화운수차고지,05:30:00,2330,01:08:00,15.1,4,54,15,25,00:20:00
591,28206002,명진교통,청라국제도서관,검암역(원당방면),05:00:00,2245,01:40:00,21,6,63,17,17,00:17:00
591-1,28206005,명진교통,원창동(종점),한성아파트,05:30:00,2300,01:01:00,7.31,2,34,23,38,00:30:30
592,28206003,명진교통,신영자동차(종점),간석오거리역(8번출구),05:00:00,2330,02:27:00,33,14,105,9,12,00:10:30
593,28511003,해성운수,배수지입구,동암역,05:00:00,2405,00:57:00,9.38,8,160,5,9,00:07:00
595,28511010,선진여객,청라우미린,검암역(원당방면),05:30:00,2300,02:09:00,26.6,5,40,21,31,00:26:00
597,28228014,태양여객,계양역,마전지구3,05:30:00,2300,01:35:00,23.4,2,22,40,50,00:45:00
598,28315042,영풍운수,영종역,인천공항13B(3층),05:30:00,2435,02:42:00,59.7,8,56,19,22,00:19:00
598-1,28315043,영풍운수,영종역,중산중학교,05:25:00,2250,01:00:00,21.2,2,34,26,34,00:30:00
6,28023002,원진운수,송도공영차고지,송도공영차고지,05:00:00,2300,03:30:00,52.73,19,92,10,13,00:11:30
6(강화),28032033,강화선진버스,강화터미널,강화터미널,08:40:00,1920,03:40:00,1,1,10,10,130,01:10:00
60-2,28010009,강화선진버스,화도터미널,구래리차고지,05:00:00,2150,02:16:00,49.02,3,24,42,42,00:42:00
60-5,28302006,강화선진버스,강화터미널,김포공항롯데몰,05:10:00,2100,03:57:00,130.29,2,8,110,130,02:00:00
6-1,28045001,대인교통,송도공영차고지,송도공영차고지,05:00:00,2300,03:35:00,53.28,19,95,10,13,00:11:30
62,28002002,삼환교통,서창2지구,동인천역,05:10:00,2310,02:53:00,38.48,22,133,7,9,00:08:00
63,28003002,삼환교통,가좌동차고,동춘동종점,05:00:00,2300,02:33:00,36.03,12,84,11,15,00:13:00
65,28008002,도영운수,동춘동종점,주안역환승정류장,04:40:00,2250,02:08:00,32.3,7,56,16,21,00:18:30
65-1,28008003,도영운수,동춘동종점,주안역환승정류장,04:40:00,2300,02:17:00,31.3,8,64,15,19,00:17:00
66,28010010,신동아교통,진웅종점,송정역,04:30:00,2240,03:58:00,81.5,16,74,15,16,00:15:30
67-1,28013002,세운교통,가좌동차고,부개역,05:00:00,2300,02:46:00,34.8,10,66,16,16,00:16:00
68,28008004,도영운수,동춘동종점,소래포구역,04:40:00,2250,02:00:00,28.6,6,54,20,23,00:20:00
7,28323005,인천교통공사,레이크블루,신포역,05:30:00,2300,03:34:00,48.7,14,67,15,17,00:16:00
70,28010007,강화선진버스,강화터미널,청라로봇랜드,05:20:00,2220,05:30:00,111,10,30,37,46,00:37:00
700-1,28302003,강화선진버스,강화터미널,종합터미널역,05:20:00,2200,06:36:00,154.3,10,25,36,43,00:39:30
701,28335002,인천교통공사,청라국제도시역,청라국제도시역,04:35:00,2430,01:38:00,19.68,8,88,9,20,00:09:00
702,28335003,인천교통공사,청라국제도시역,청라국제도시역,04:35:00,2430,01:38:00,19.37,8,88,9,20,00:09:00
72,28309001,선진여객,한양수자인,동춘동종점,04:50:00,2300,04:18:00,54.66,17,71,14,14,00:14:00
721,28027003,시영운수,가좌동차고,남동중학교,05:00:00,2250,03:47:00,51.2,18,84,10,15,00:12:30
754,28022008,하이버스,소래포구역종점,논현10단지별빛마을웰카운티A정문,05:20:00,2255,02:50:00,44.2,13,78,12,14,00:13:00
76,28005004,인천선진교통,마전지구버스차고지,작전역,05:00:00,2300,02:56:00,47,7,42,20,30,00:25:00
760,28228007,태양여객,삼산동차고지,삼산동차고지,05:30:00,2330,01:10:00,17.3,8,88,9,10,00:09:30
760-1,28228011,태양여객,삼산동차고지,삼산동차고지,05:30:00,2330,01:10:00,17.1,8,88,9,10,00:09:30
7700,28335001,인천교통공사,로봇랜드입구,가양역(우성아파트),05:00:00,2300,02:10:00,47.6,12,72,10,15,00:12:30
